Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date
H1468,17,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana,Humana Community HMO Diabetes and Heart (HMO SNP),Humana Inc.,2/1/1999 0:00
H1468,802,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana,Humana Medicare Employer (HMO),Humana Inc.,2/1/1999 0:00
H1468,803,Local CCP,HMO/HMOPOS,No,No,Yes,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana,Humana Medicare Employer (HMO),Humana Inc.,2/1/1999 0:00
H1500,1,National PACE,National PACE,Yes,No,No,"LIFE ST. JOSEPH OF THE PINES, INC.",LIFE St. Joseph of the Pines,LIFE St. Joseph of the Pines (PACE),Trinity Health,4/1/2011 0:00
H1500,2,National PACE,National PACE,Yes,No,No,"LIFE ST. JOSEPH OF THE PINES, INC.",LIFE St. Joseph of the Pines,LIFE St. Joseph of the Pines (PACE),Trinity Health,4/1/2011 0:00
H1518,1,National PACE,National PACE,Yes,No,No,CATHOLIC HEALTH SYSTEM BUFFALO PACE,Catholic Health LIFE,CHS Buffalo - Dual (PACE),"Catholic Health System, Inc.",9/1/2009 0:00
H1518,2,National PACE,National PACE,Yes,No,No,CATHOLIC HEALTH SYSTEM BUFFALO PACE,Catholic Health LIFE,CHS Buffalo - Medicare only (PACE),"Catholic Health System, Inc.",9/1/2009 0:00
H1533,1,National PACE,National PACE,Yes,No,No,"STAYWELL SENIOR CARE, INC.",StayWell Senior Care,StayWell Senior Care - Dual Eligible (PACE),"Randolph Hospital, Inc.",12/1/2014 0:00
H1533,2,National PACE,National PACE,Yes,No,No,"STAYWELL SENIOR CARE, INC.",StayWell Senior Care,StayWell Senior Care - Medicare Only (PACE),"Randolph Hospital, Inc.",12/1/2014 0:00
H1537,4,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,801,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,802,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,803,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,804,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,805,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,806,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,807,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,808,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,809,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,816,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,817,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,823,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,824,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,825,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,826,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,827,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,828,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,829,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,830,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,831,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,832,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,833,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1537,834,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H1587,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ARKANSAS SUPERIOR SELECT, INC.",Superior Select Health Plans,Tribute (HMO-POS SNP),"Select Founders, LLC",1/1/2015 0:00
H1587,2,Local CCP,HMO/HMOPOS,Yes,No,No,"ARKANSAS SUPERIOR SELECT, INC.",Superior Select Health Plans,Horizons (HMO-POS),"Select Founders, LLC",1/1/2015 0:00
H1587,3,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ARKANSAS SUPERIOR SELECT, INC.",Superior Select Health Plans,Select (HMO-POS SNP),"Select Founders, LLC",1/1/2015 0:00
H1607,12,Local CCP,Local PPO,Yes,No,No,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue Access (PPO),Anthem Inc.,8/1/2005 0:00
H1607,804,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,8/1/2005 0:00
H1607,805,Local CCP,Local PPO,No,No,Yes,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,8/1/2005 0:00
H1607,806,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,8/1/2005 0:00
H1608,1,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Advantra Platinum (PPO),Aetna Inc.,7/1/2005 0:00
H1608,4,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Total Care (PPO),Aetna Inc.,7/1/2005 0:00
H1608,7,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Total Care (PPO),Aetna Inc.,7/1/2005 0:00
H1608,8,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Total Care (PPO),Aetna Inc.,7/1/2005 0:00
H1608,12,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Advantra Platinum (PPO),Aetna Inc.,7/1/2005 0:00
H1608,13,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra (PPO),Aetna Inc.,7/1/2005 0:00
H1608,16,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Freedom (PPO),Aetna Inc.,7/1/2005 0:00
H1608,17,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Medicare Advantage (PPO),Aetna Inc.,7/1/2005 0:00
H1608,18,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Freedom (PPO),Aetna Inc.,7/1/2005 0:00
H1608,21,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Freedom (PPO),Aetna Inc.,7/1/2005 0:00
H1608,23,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Freedom Plus (PPO),Aetna Inc.,7/1/2005 0:00
H1608,24,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Total Care (PPO),Aetna Inc.,7/1/2005 0:00
H1608,26,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Gold (PPO),Aetna Inc.,7/1/2005 0:00
H1608,27,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Gold (PPO),Aetna Inc.,7/1/2005 0:00
H1608,28,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Preferred (PPO),Aetna Inc.,7/1/2005 0:00
H1608,29,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Silver (PPO),Aetna Inc.,7/1/2005 0:00
H1608,31,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,AdvantraOne (PPO),Aetna Inc.,7/1/2005 0:00
H1608,35,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra (PPO),Aetna Inc.,7/1/2005 0:00
H1608,36,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Freedom (PPO),Aetna Inc.,7/1/2005 0:00
H1608,37,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Advantra Elite (PPO),Aetna Inc.,7/1/2005 0:00
H1608,38,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Advantra Elite (PPO),Aetna Inc.,7/1/2005 0:00
H1608,801,Local CCP,Local PPO,No,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Advantra Platinum EmpGrp/NoRx/Cyear (PPO),Aetna Inc.,7/1/2005 0:00
H1608,802,Local CCP,Local PPO,Yes,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Advantra Platinum EmpGrp/Rx/Cyear (PPO),Aetna Inc.,7/1/2005 0:00
H1608,814,Local CCP,Local PPO,No,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,St. Louis Employer Group w/o Rx (PPO),Aetna Inc.,7/1/2005 0:00
H1608,815,Local CCP,Local PPO,Yes,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,St. Louis Employer Group w/Rx (PPO),Aetna Inc.,7/1/2005 0:00
H1608,816,Local CCP,Local PPO,Yes,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Ohio Employer Group w/Rx (PPO),Aetna Inc.,7/1/2005 0:00
H1608,817,Local CCP,Local PPO,No,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Heartland Employer Group w/o Rx (PPO),Aetna Inc.,7/1/2005 0:00
H1608,818,Local CCP,Local PPO,No,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Ohio Employer Group w/o Rx (PPO),Aetna Inc.,7/1/2005 0:00
H1608,819,Local CCP,Local PPO,Yes,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Heartland Employer Group w/Rx (PPO),Aetna Inc.,7/1/2005 0:00
H1608,822,Local CCP,Local PPO,No,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra MA Only (PPO),Aetna Inc.,7/1/2005 0:00
H1608,823,Local CCP,Local PPO,Yes,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Advantra Gold (PPO),Aetna Inc.,7/1/2005 0:00
H1608,824,Local CCP,Local PPO,Yes,No,Yes,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Advantra (PPO),Aetna Inc.,7/1/2005 0:00
H1609,1,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Advantra Silver (HMO),Aetna Inc.,7/1/2005 0:00
H1609,9,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Total Care (HMO),Aetna Inc.,7/1/2005 0:00
H1609,14,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Vista Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,15,Local CCP,HMO/HMOPOS,Yes,Yes,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Vista Plan (HMO SNP),Aetna Inc.,7/1/2005 0:00
H1609,16,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Summit Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,17,Local CCP,HMO/HMOPOS,Yes,Yes,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Summit Plan (HMO SNP),Aetna Inc.,7/1/2005 0:00
H1609,18,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Summit Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,19,Local CCP,HMO/HMOPOS,Yes,Yes,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Summit Plan (HMO SNP),Aetna Inc.,7/1/2005 0:00
H1609,20,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Summit Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,21,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Summit Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,22,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Medicare Summit Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,23,Local CCP,HMO/HMOPOS,Yes,Yes,No,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare Select Plan (HMO SNP),Aetna Inc.,7/1/2005 0:00
H1609,24,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare Select Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,25,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare Select Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,26,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare Value Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,27,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare Select Plan (HMO),Aetna Inc.,7/1/2005 0:00
H1609,28,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare Choice Plan (HMO-POS),Aetna Inc.,7/1/2005 0:00
H1609,801,Local CCP,HMO/HMOPOS,No,No,Yes,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Advantra Silver EmpGrp/NoRx/Cyear (HMO),Aetna Inc.,7/1/2005 0:00
H1609,802,Local CCP,HMO/HMOPOS,Yes,No,Yes,AETNA HEALTH INC. (FL),Aetna Medicare,Coventry Advantra Silver EmpGrp/Rx/Cyear (HMO),Aetna Inc.,7/1/2005 0:00
H1609,807,Local CCP,HMO/HMOPOS,Yes,No,Yes,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare Plan w/Rx CY (HMO),Aetna Inc.,7/1/2005 0:00
H1609,808,Local CCP,HMO/HMOPOS,No,No,Yes,AETNA HEALTH INC. (FL),Aetna Medicare,Aetna Medicare (HMO),Aetna Inc.,7/1/2005 0:00
H1610,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,COVENTRY HEALTH CARE OF VIRGINIA,Aetna Better Health of Virginia,"Aetna Better Health, Inc. (VA) (HMO SNP)",Aetna Inc.,1/1/2018 0:00
H1651,1,1876 Cost,1876 Cost,No,No,No,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.",Medical Associates SmartPlan (Cost),"Medical Associates Clinic, P.C.",2/1/1996 0:00
H1651,2,1876 Cost,1876 Cost,No,No,No,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.",Medical Associates Basic Plan (Cost),"Medical Associates Clinic, P.C.",2/1/1996 0:00
H1651,3,1876 Cost,1876 Cost,No,No,No,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.",Medical Associates SmartPlan (Cost),"Medical Associates Clinic, P.C.",2/1/1996 0:00
H1651,4,1876 Cost,1876 Cost,No,No,No,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.",Medical Associates Community Plan (Cost),"Medical Associates Clinic, P.C.",2/1/1996 0:00
H1651,5,1876 Cost,1876 Cost,No,No,No,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.",Medical Associates Community Plan (Cost),"Medical Associates Clinic, P.C.",2/1/1996 0:00
H1651,8,1876 Cost,1876 Cost,No,No,No,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.",Medical Associates Freedom Plan (Cost),"Medical Associates Clinic, P.C.",2/1/1996 0:00
H1651,9,1876 Cost,1876 Cost,No,No,No,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.",Medical Associates Freedom Plan (Cost),"Medical Associates Clinic, P.C.",2/1/1996 0:00
H1659,1,Local CCP,Local PPO,Yes,No,No,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Select Medicare Option One (PPO),Piedmont Community Health Plan,1/1/2011 0:00
H1659,2,Local CCP,Local PPO,Yes,No,No,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Select Medicare Option Two (PPO),Piedmont Community Health Plan,1/1/2011 0:00
H1659,3,Local CCP,Local PPO,Yes,No,No,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Select Medicare Option Three (PPO),Piedmont Community Health Plan,1/1/2011 0:00
H1660,1,Local CCP,HMO/HMOPOS,Yes,No,No,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,5,Local CCP,HMO/HMOPOS,Yes,No,No,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,9,Local CCP,HMO/HMOPOS,Yes,No,No,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,12,Local CCP,HMO/HMOPOS,Yes,No,No,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,13,Local CCP,HMO/HMOPOS,Yes,No,No,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,14,Local CCP,HMO/HMOPOS,Yes,No,No,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Basic Rx (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,802,Local CCP,HMO/HMOPOS,Yes,No,Yes,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,803,Local CCP,HMO/HMOPOS,Yes,No,Yes,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1660,804,Local CCP,HMO/HMOPOS,Yes,No,Yes,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",1/1/2014 0:00
H1664,1,Local CCP,HMO/HMOPOS,Yes,No,No,"HOME STATE HEALTH PLAN, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2018 0:00
H1664,2,Local CCP,HMO/HMOPOS,Yes,No,No,"HOME STATE HEALTH PLAN, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,1/1/2018 0:00
H1666,1,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Premier (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,2,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Premier (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,3,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Premier (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,4,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Plus (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,5,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Plus (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,6,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Plus (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,8,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Plus (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,9,Local CCP,Local PPO,Yes,No,No,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Choice Premier (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,801,Local CCP,Local PPO,Yes,No,Yes,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,BlueCross Medicare Advantage (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,803,Local CCP,Local PPO,Yes,No,Yes,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,BlueCross  Medicare Advantage (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,805,Local CCP,Local PPO,No,No,Yes,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,BlueCross  Medicare Advantage (PPO),Health Care Service Corporation,1/1/2013 0:00
H1666,807,Local CCP,Local PPO,Yes,No,Yes,HCSC INSURANCE SERVICES COMPANY,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage (PPO),Health Care Service Corporation,1/1/2013 0:00
